region,topic,text,label
제주,주거환경,섬 절대 낙원 아니다. 한두달 사는거라면 뭐 나쁘지 않겠지만...제주도 중고등학생들은 서울 부산 소재 대학교 가려고 이악물고 공부한다...취업할때 되면 현타 오지게 옴,-1
제주,주거환경,ㅋㅋㅋㅋ ㄹㅇ 찐제주도민이누 반갑네 ㅋㅋㅋㅋㅋ ㄹㅇ 육지애들 제주도가 무슨 하와이 같은 날씬줄 알음 겨울에 얼어뒤질정도로 추운 날씨랑 우박 경험좀 해봐야지 ㅋㅋㅋㅋㅋㅋㅋ,-1
제주,주거환경,.제주도 남원산다 텃새 심한거 맞고 물가 존나비싸고,-1
제주,주거환경,가스비가 진짜 존나 존나 존나 존나 존나 씨123발 비싸다. 자취할거면 이거 진짜 꼭 알아보고 가라...제주도 자취방 대부분의 가스비 단가가 도시가스에 비해 대강 3배에서 4배 이상...,-1
제주,주거환경,"제주도의 평균 기온이 육지보다 많이 따뜻한 건 사실이지만, 서귀포와 제주시를 기점으로 기온 차이가 제법 있다...제주로는 산중턱에 있으며 진짜 생각보다 춥다.",-1
제주,주거환경,여기서 비싸다는건 관광물가가 아니라 생활물가임...애미뒤진 식물가(솔직히 이건 반박 못함 한끼 최소 8000원 9000원) 장보려고해도 육지 1.5배...,-1
제주,주거환경,그리고 사람들 같은 경우도 갇혀서 서로끼리만 교류하다 보니 특유의 ㅈ목문화 심하고...,-1
제주,주거환경,제주도는 어른은 말할 것도 없고 애들도 의지 + 싸가지 없어 신기할 정도로.. 육지에서 살다 온 사람들은 공통적으로 느낌.,-1
제주,주거환경,밥값 비쌈 시내만가도 존나 비싸고 휘발유값 리터당 100원 이상 비싸다...유흥주점 많은건 제주연동이 전국 1위임...그냥 자연경관이 좋을뿐이다.,0
제주,주거환경,제주도 자체가 너무 좁고 뭔가 갇혀있는 기분이랄까 제주도에서만 평생 살거면 괜찮은데 그게 아니면 너무..너무 그래,-1
제주,주거환경,애들아 제주도는.. 무조건 여기서 살아야하는 이유가 없다면 앵간하면 거주하러는 오지마..제주도에 온지 3년차인데 여긴 진짜 살곳은 못됨..,-1
제주,노동경제,애초에 제주 경제권이 개좆만해서인가 수요도 얼마 없고 직장도 뭔 식당 요식업 호텔밖에 없고...공대 it쪽도 제대로 된 회사가 많이 없다...,-1
제주,노동경제,보통 인프라가 없으면 집값이라도 싼 법인데 여기는 서울 뺨치는 집값을 자랑하고 그에 비해 다닐만한 직장은 정말 소수이며 임금조차 정말 낮음..,-1
제주,노동경제,ㅇㅇ 제주도 빨리 망해야함 외국자본으로 땅값 투기로 엄청 오르고 지역 인프라 씹 거지고...직장도 90%가 서비스직이라고 봐도 무방...,-1
제주,노동경제,섬인데 많겠냐;; 오히려 시골오지는 자차끌고 광역시쪽에 일자리라도 구하지 제주도는 일자리 거기서 못 구하면 그냥 아무것도 못함,-1
제주,노동경제,제주도가 임금이 가장 짠 편에 속한다. 세살 공부 덜 했냐?,-1
제주,노동경제,섬은 마지막이라고 생각하면 됨. 그냥 최악이라고 보면된다. 제주도 바다 보고 온 사람들 다 육지로 돌아감.(일자리많냐는질문에),-1
제주,노동경제,공항 생긴다고 질 좋은 일자리가 생기는 건 아님.. 제주도에 진짜 일자리가 없어서 떠나는 거 같음? ...‘질 좋은 일자리’가 없는 게 문제지,-1
제주,노동경제,제주도 전국 꼴찌 평균급여,-1
제주,노동경제,",일자리 진짜 쓰레기인 도시 여기는 대기업 중견기업은 커녕 좆소도 없음 모든 직장이 결국에는 ‘자영업자 똥받아먹기’에 불과함...",-1
제주,노동경제,애초에 제주도에 대기업이나 중소 들어설 이유가 없지않나 관광이나 숙박쪽 아니면,-1
제주,정책효능감,섬사람들하고 친하게 지내고 싶다는 애들은 섬의 특징을 잘 모르는듯. 섬은 바다로 둘러싸여 있어 섬사람들은 배타적이고 문화도 폐쇄적임.,-1
제주,정책효능감,좆목좆같이심함꼰대새끼들소굴지가병신인지모르는개병신씹새끼들이모여사는곳,-1
제주,정책효능감,이 제도 좋기는 한데 렌트카 문제도 함께 해결해야됨...내가 내 차고지 증명해서 차 구매하면 뭐하나 렌트카는 봐주기식인데...,-1
제주,정책효능감,제주도민인데 제주도는 차고지증명제가 아니라 렌터카나 좀 어케해봐라 하ㅠ 렌터카가 우리집에 주차해놓고 연락처도 없고 내가 내집에 주차를 못하는 상황이 어케나오냐,-1
제주,정책효능감,근데 문화생활의 정의가 좀 이상타...카페를 문화생활로 치는 게 맞나?..지방공연 목록 뜨는 거 봐도 제주도는 못 본 듯,-1
제주,교통인프라,.. 생각보다 정말 할 게 없다...서울의 편리하고 폭넓은 인프라에 절여져 살아온 나약한 친구들이라면 진지하게 한 번은 고려해봄직하다...제대 근처에서 자취하게 된다면 근처에 있는게 정말 없다.,-1
제주,교통인프라,도민입니다.. 렌트하시는 분들.. 대낮에 쌍라이트.. 시커먼 밤에 스텔스… 너무 많아요~ ㅠㅠ 오토라이트 좀 사용합시다~,-1
제주,교통인프라,"제주도는 운전 쉽다고하면서 이제 막 면허딴 친구들 렌트 많이 하던데 절대 안쉽습니다~~ 로타리도 많고 신호도 많고 차도 많아서 오히려 더 어려워요,,,",-1
제주,교통인프라,제주도 자주 가는데 렌트카 사고 급증 아니에요!! 도민들 진짜진짜 개판운전... 역주행도 정말 많이 봤습니다!!,-1
제주,교통인프라,버스타세요. 왠만한곳은 다 있고 아님 근처까지 버스타고 내려서 택시타세요. 중국인들 초보들 많아서 운전 막하는 사람 많습니다.,1
제주,교통인프라,제주도 버스 잘돼있어요.. 중산간지역도 버스로 가능하니까 그냥 버스타세요,1
제주,교통인프라,제주도 시골정도면 상위 10퍼센트 수준인데 의료인프라 앵간히 좋고 관광객땜에 편의점이나 하나로마트 많음,1
