id,region,topic,text,label
1,강원,주거환경,작년에 시원하다고 댓글 달았던 태백주민입니다 이번년도는 덥습니다 그래도 밤에 20도까지 떨어져서 제습만 어느정도 잘하고 살면 쾌적합니다 감사합니다,1
1,강원,주거환경,태백의 가장 좋은 부분을 빼먹으셨네요.. 한여름에도 파리 모기 보기가 힘들다는 것!!!,1
1,강원,주거환경,태백의 다른장점. 벚꽃이 피면 참 아름다운 동네입니다. 봄이 이쁜 동네에요...겨울도 구경하러 가면 설경이 너무 이쁘구요.,1
1,강원,주거환경,원주는 벌어먹을곳이 별로 없어요 큰 기업도 없고요  미분양 아파트가많습니다   아파트만 많아요,-1
1,강원,주거환경,주문진에 학생수가 너무 없어서 강릉으로 이사갔더만 1개반 20명이 안됨 ㄷㄷ 주문진은3개반이였음…,-1
1,강원,주거환경,"근데 지난 부동산 광풍 불고서, 춘천도 죄다 갈아엎고 아파트만 미친 듯이 지었어요 춘천에 일자리도 거의 없고...미분양 날 수밖에 없는 구조로 몰아가고 있습니다.",-1
1,강원,주거환경,상황이 이런데도 아파트값은 절대 안떨어집니다....,-1
1,강원,주거환경,강원도 집값이 경기도와 같은데 누가 살겠나.. 아파트 거펌더 빠져야된다고봐요.,-1
1,강원,주거환경,춘천사람인데 춘천 좋음 ㅎㅎ ...적당히 있을 거 다 있고 좋은 도시라고 생각함,1
1,강원,주거환경,강원도는 어디든지...새벽에 불어오는 숲향기와 청량한 공기가 정말 좋아요.,1
1,강원,주거환경,강원도에서 인프라랑 시내교통은 원주인데 춘천은 진짜 조용함 어느정도 살만한 인프라있고 산책로 좋고 평온하게 살기엔 춘천임,1
1,강원,주거환경,강릉 텃세 쩌는 동네인디 살기가 좋데 ㅋㅋ,-1
1,강원,주거환경,"여름시원, 겨울따뜻,동네는 깨끗 요새같이 살기 좋은 곳이 삼척인데 사람들이 잘 모르네요",1
